DATE,BAMLCC0A1AAATRIV
2018-03-19,614.05
2018-03-20,611.75
2018-03-21,609.57
2018-03-22,612.77
2018-03-23,612.31
2018-03-26,612.27
2018-03-27,615.49
2018-03-28,616.26
2018-03-29,618.75
2018-03-31,618.80
2018-04-02,619.34
2018-04-03,616.88
2018-04-04,616.51
2018-04-05,614.65
2018-04-06,618.18
2018-04-09,618.56
2018-04-10,619.03
2018-04-11,619.51
2018-04-12,617.67
2018-04-13,617.76
2018-04-16,618.19
2018-04-17,619.73
2018-04-18,615.95
2018-04-19,612.31
2018-04-20,610.48
2018-04-23,609.58
2018-04-24,608.44
2018-04-25,605.22
2018-04-26,607.09
2018-04-27,609.93
2018-04-30,611.19
2018-05-01,607.47
2018-05-02,608.10
2018-05-03,608.79
2018-05-04,608.82
